                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 0.7176,                0.51044,                 0.9563,                0.02144,                0.05703,                0.01743,                0.00412,                 4.2022,                 6.7376,                 3.8322,              0.0086734,              0.0086734,              0.0086734
                    137,                 0.7334,                0.48687,                0.94965,                0.84524,                0.93502,                0.93165,                0.83676,                0.70838,                0.50563,                0.93246,              0.0086635,              0.0086635,              0.0086635
                    138,                0.68736,                0.48742,                0.95109,                0.86285,                0.92195,                0.93507,                0.83768,                0.69167,                0.47405,                 0.9293,              0.0086536,              0.0086536,              0.0086536
                    139,                0.68979,                0.48899,                 0.9312,                 0.8669,                0.87283,                0.90141,                0.79709,                0.73115,                0.50728,                0.93854,              0.0086437,              0.0086437,              0.0086437
                    140,                0.68834,                0.48594,                   0.94,                0.81335,                0.85964,                0.83678,                0.73955,                 0.7422,                0.68971,                0.95727,              0.0086338,              0.0086338,              0.0086338
                    141,                0.70124,                0.48491,                0.94474,                0.87129,                0.87578,                0.90437,                0.80078,                0.73848,                0.51765,                 0.9434,              0.0086239,              0.0086239,              0.0086239
                    142,                0.69019,                 0.4638,                 0.9323,                0.88976,                0.88312,                0.91118,                0.80566,                 0.7227,                0.54382,                0.92994,               0.008614,               0.008614,               0.008614
                    143,                0.73808,                 0.5408,                0.97183,                0.82349,                0.87657,                0.88059,                0.78066,                0.70979,                0.59928,                0.93383,              0.0086041,              0.0086041,              0.0086041
                    144,                 0.7256,                0.49159,                0.95253,                 0.8426,                0.89967,                0.86233,                0.75956,                0.74822,                0.57435,                0.95146,              0.0085942,              0.0085942,              0.0085942
                    145,                 0.7131,                0.48617,                0.93154,                 0.8684,                 0.9378,                0.92315,                0.82401,                0.73593,                0.45575,                0.95843,              0.0085843,              0.0085843,              0.0085843
                    146,                0.70797,                0.49092,                0.94149,                 0.8357,                 0.8894,                0.91212,                0.81297,                0.71196,                0.53078,                  0.935,              0.0085744,              0.0085744,              0.0085744
                    147,                0.72119,                0.47341,                0.94372,                0.87714,                 0.9021,                0.90242,                0.80785,                 0.7122,                0.50953,                0.94095,              0.0085645,              0.0085645,              0.0085645
                    148,                0.67801,                0.45819,                0.92931,                0.84136,                0.88752,                0.86553,                0.76413,                 0.7183,                0.55309,                0.94459,              0.0085546,              0.0085546,              0.0085546
                    149,                0.69382,                0.46854,                 0.9425,                0.81707,                0.88322,                0.85107,                  0.734,                0.77536,                0.62917,                0.98242,              0.0085447,              0.0085447,              0.0085447
                    150,                0.69899,                0.46561,                0.94536,                0.77774,                 0.8618,                0.84524,                 0.7301,                0.75019,                0.76161,                0.96292,              0.0085348,              0.0085348,              0.0085348
                    151,                0.68051,                0.48113,                0.91746,                0.78109,                0.72723,                0.78838,                0.63749,                0.91789,                 1.4281,                 1.0781,              0.0085249,              0.0085249,              0.0085249
                    152,                0.68559,                0.48552,                0.92221,                0.72403,                0.77599,                0.77301,                0.63473,                0.86334,                 1.2037,                 1.0742,               0.008515,               0.008515,               0.008515
